sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"Our development track record of the past 10 years and structural reforms have 
drawn global attention.",,,,,,Our,track; 10 years; global; development,the past 10 years(DATE)
"Confidence in India’s capability and potential has only 
 2  
 
grown in this period.",,,,,,Confidence; India,grown; capability; potential; period,India(GPE); 2(CARDINAL)
"We see the next five years as a unique opportunity to 
realize ‘Sabka Vikas’, stimulating balanced growth of all regions.",,,,,,Sabka Vikas,sabka; unique; growth; years,the next five years(DATE); Sabka Vikas(PERSON)
"The great Telugu poet and playwright Gurajada Appa Rao had said, 
‘Desamante Matti Kaadoi, Desamante Manushuloi ’; meaning, ‘A country is not 
just its soil, a country is its people.’",,,,,,The; Telugu; Gurajada Appa Rao; Desamante Matti Kaadoi; Desamante Manushuloi,country; great; said; people,Gurajada Appa Rao(PERSON); Kaadoi(PERSON); Desamante Manushuloi(PERSON)
"In line with this, for us, Viksit Bharat, 
encompasses:  
a) zero -poverty;  
b) hundred per cent good quality school education;   
c) access to high -quality, affordable, and comprehensive healthcare;  
d) hundred per cent skilled labour with meaningful employment;  
e) seventy per cent women in economic activities; and  
f) farmers making our country the ‘food basket of the world’.",,,,,,Viksit Bharat,cent; quality; encompasses; good,Viksit Bharat(PERSON); zero(CARDINAL); hundred per cent(MONEY); seventy per cent(MONEY)
"In this Budget, the proposed development measures span ten broad 
areas focusing on Garib, Youth, Annadata and Nari.  
1) Spurring Agricultural Growth and Productivity;  
2) Building Rural Prosperity and Resilience;  
3) Taking Everyone Together on an Inclusive Growth path;  
4) Boosting Manufacturing and Furthering Make in India;  
5) Supporting MSMEs;  
6) Enabling Employment -led Development;  
7) Investing in people, economy and innovation;  
8) Securing Energy Supplies;  
9) Promoting Exports; and  
10)",,,,,,Make in India; Budget; Garib; Youth; Annadata; Nari; Spurring Agricultural Growth; Productivity; Building Rural Prosperity; Resilience; Taking Everyone Together; Inclusive Growth; Boosting Manufacturing; Furthering Make; India; Supporting; Enabling Employment; Development; Investing; Securing Energy Supplies; Promoting Exports,growth; development; building rural; agricultural,Budget(ORG); ten(CARDINAL); Garib(GPE); Youth(GPE); Annadata(GPE); Nari(ORG); 2(CARDINAL); Building Rural Prosperity and Resilience(ORG); 3(CARDINAL); 4(CARDINAL); India(GPE); 5(CARDINAL); 6(CARDINAL); 8)(CARDINAL); 9(CARDINAL)
Nurturing Innovation .,,,,,,Nurturing Innovation,innovation,
"For this journey of development,  
a)",,,,,,For,development,
"Our four powerful engines are: Agriculture, MSME, Investment, and 
Exports  
b)",,,,,Agriculture,Our; Agriculture; Investment; Exports,agriculture; exports; investment,four(CARDINAL); MSME(ORG); Investment(ORG)
"The fuel: our Reforms  
c)",,,,,,The; Reforms,fuel; reforms,
"Our guiding spirit: Inclusivity  
d)",,,,,,Our; Inclusivity,spirit,
"And the destination: Viksit Bharat  
 3  
 
8.",,,,,,And; Viksit Bharat,destination; viksit bharat; viksit; bharat,3(CARDINAL)
This Budget aims to initiate transformative reforms across six domains.,,,,,,This Budget,budget; reforms,Budget(ORG); six(CARDINAL)
"During the next five years, these will augment our growth potential and global 
competitiveness.","rs,",",",,,,During,potential; competitiveness; growth; global,the next five years(DATE)
"The domains are:  
1) Taxation;  
2) Power Sector;  
3) Urban Development;  
4) Mining;  
5) Financial Sector; and  
6) Regulatory Reforms.",,,,,,The; Taxation; Power Sector; Urban Development; Mining; Financial Sector; Regulatory Reforms,sector; mining; financial sector; power,2(CARDINAL); 3(CARDINAL); 4(CARDINAL); 5(CARDINAL)
"Agriculture as the 1st Engine  
9.",,,,,Agriculture,Agriculture; Engine,agriculture 1st; 1st engine; 1st; agriculture,1st(ORDINAL); 9(CARDINAL)
"Now I move to specific proposals, beginning with ‘Agriculture as the 1st 
Engine’.",,,,,Agriculture,Now; Agriculture; Engine,agriculture 1st; 1st engine; 1st; specific,the 1st(DATE)
"Prime Minister Dhan -Dhaanya Krishi Yojana - Developing Agri Districts 
Programme  
10.",,,,,,"Prime Minister Dhan; Dhaanya Krishi Yojana; Developing Agri Districts 
Programme",prime; prime minister; districts; minister,Dhan -Dhaanya(PERSON); 10(CARDINAL)
"Motivated by the success of the Aspirational Districts Programme, our 
Government  will undertake a ‘Prime Minister Dhan -Dhaanya Krishi Yojana ’ in 
partnership with states.",,,,,,Motivated; Aspirational Districts Programme; Government; Prime Minister Dhan; Dhaanya Krishi Yojana,partnership states; success; prime; prime minister,the Aspirational Districts Programme(ORG); Dhan -Dhaanya(PERSON)
"Through the convergence of existing schemes and 
specialized measures, the programme will cover 100 districts with low 
productivity, moderate crop intensity and below -average credit parameters.",rs.,.,,,,Through,crop; cover; schemes; districts,100(CARDINAL)
"It 
aims to (1) enhance agricultural  productivity, (2) adopt crop diversification and 
sustainable agriculture practices, (3) augment post -harvest stor age at the 
panchayat and block level, (4) improve irrigation facilities, and (5) facilitate 
availability of long -term and short -term credit.",,,,,,,term; agricultural; facilities; crop,1(CARDINAL); 2(CARDINAL); 3(CARDINAL); 4(CARDINAL); 5(CARDINAL)
"This programme is likely to help 
1.7 crore farmers.",rs.,.,,,,This,help; programme; farmers; crore,1.7(CARDINAL)
"Building Rural Prosperity and Resilience  
11.",,,,,,Building Rural Prosperity; Resilience,building rural; rural prosperity; prosperity resilience; prosperity,Building Rural Prosperity and Resilience(ORG)
"A comprehensive multi -sectoral ‘Rural Prosperity and Resilience’ 
programme will be launched in partnership with states.",,,,,,Rural Prosperity; Resilience,prosperity resilience; rural prosperity; partnership states; comprehensive,Rural Prosperity and Resilience(ORG)
"This will address under -
employment in agriculture through skilling, investment, technology, and 
invigorating the rural economy.",,,,,,This,address; rural economy; technology; skilling,
"The goal  is to generate ample opportunities in 
rural areas so that migration is an option, but not a necessity.",,,,,,The,goal; generate; rural areas; opportunities,
12.,,,,,,,12,12(CARDINAL)
"The programme will focus on rural women, young farmers, rural youth, 
marginal and small farmers, and landless families.","rs,",",",,,,The,rural; farmers; families; marginal,
"Details are in Annexure A.  
 4  
 
13.",,,,,,Details; Annexure,details annexure; details; 13; annexure,4(CARDINAL); 13(CARDINAL)
"Global and domestic best practices will be incorporated and 
appropriate technical and financial assistance will be sought from multilateral 
development banks.",,,,,,Global,incorporated; technical; banks; appropriate,
"In Phase -1, 100 developing agri -districts will be covered.",,,,,,Phase,districts; covered; 100,100(CARDINAL)
"Aatmanirbharta in Pulses    
14.",,,,,,Aatmanirbharta; Pulses,aatmanirbharta; aatmanirbharta pulses; pulses; 14,Aatmanirbharta(GPE); Pulses(GPE)
"Our Government  is implementing the National Mission for Edible 
Oilseed for achieving atmanirbhrata in edible oils.",,,,,,"Our Government; National Mission; Edible 
Oilseed",national mission; national; mission; government,"the National Mission for Edible 
Oilseed(ORG)"
"Our farmers have the 
capability to grow enough for our needs and more.",,,,,,Our,capability; needs; farmers,
15.,,,,,,,15,15(CARDINAL)
"Ten years ago, we made concerted efforts and succeeded in achieving 
near self -sufficiency in pulses.",,,,,,Ten,pulses; efforts; self; years,Ten years ago(DATE)
"Farmers responded to the need by increasing the 
cultivated area by 50 per cent and Government  arranged for procurement and 
remunerative prices.",,,,,,Farmers; Government,remunerative; remunerative prices; area; prices,50 per cent(MONEY)
"Since then, with rising incomes and better affordability, 
our consumption of pulses has increased significantly.",,,,,,Since,incomes; rising; pulses; increased,
16.,,,,,,,16,16(CARDINAL)
"Our Government  will now launch a 6 -year “Mission for Aatmanirbharta 
in Pulses” with a special focus on Tur, Urad and Masoor.",,,,,,Our Government; Mission; Aatmanirbharta; Pulses; Tur; Urad; Masoor,aatmanirbharta; aatmanirbharta pulses; special focus; pulses,"6 -year(DATE); Aatmanirbharta(PERSON); Pulses(GPE); Tur, Urad(GPE); Masoor(ORG)"
"Details are in 
Annexure B. Central agencies (NAFED and NCCF) will be ready to procure these 
3 pulses, as much as offered during the next 4 years  from farmers who register 
with these agencies and enter into agreements.",,,,,,Details; Annexure; Central,details annexure; central; pulses; details,NAFED(ORG); NCCF(ORG); 3(CARDINAL); the next 4 years(DATE)
"Comprehensive Programme for Vegetables & Fruits  
17.",,,,,,Comprehensive Programme; Vegetables; Fruits,comprehensive; 17; programme,"Comprehensive Programme for Vegetables & Fruits  
(ORG); 17(CARDINAL)"
"It is encouraging that our people are increasingly becoming aware of 
their nutritional needs.",,,,,,,encouraging; nutritional; needs; people,
"With rising 
income levels, the consumption of vegetables, fruits and shree -anna is 
increasing significantly.",,,,,,With,rising; increasing; income,
"A compr ehensive programme to promote production, 
efficient supplies, processing, and remunerative prices for farmers will be 
launched in partnership with states.",,,,,,,remunerative prices; remunerative; supplies; partnership states,
"Appropriate institutional mechanisms for 
implementation and participation of farmer producer organiza tions and 
cooperatives will be set up.",,,,,,Appropriate,appropriate; set,cooperatives(ORG)
"Makhana Board in Bihar  
18.",,,,,,Makhana Board; Bihar,makhana; bihar; 18; board,Makhana Board(ORG); Bihar(GPE)
"For this, there is a special opportunity for the people of Bihar.",,,,,,For; Bihar,bihar; special; people,Bihar(GPE)
"A 
Makhana Board will be established in the state to improve production, 
processing, value addition, and marketing of makhana.",,,,,,Makhana Board,makhana; established; processing; improve,Makhana Board(ORG); makhana(PERSON)
"The people engaged in 
these activities will be organized into FP Os.",,,,,,The,engaged; activities; people,FP Os(ORG)
"The Board will provide handholding 
and training support to makhana farmers and will also work to ensure they 
receive the benefits of all relevant Government  schemes.",,,,,,The Board; Government,makhana; ensure; schemes; benefits,Board(ORG)
"5  
 
National Mission on High Yielding Seeds  
19.",,,,,,National Mission; High Yielding Seeds,national mission; 19; seeds; high,5(CARDINAL); 19(CARDINAL)
"A National Mission on High Yielding Seeds will be launched, aimed at (1) 
strengthening the research ecosystem, (2) targeted development and 
propagation of seeds with high yield, pest resistance and climate resilience, and 
(3) commercial availability of mor e than 100 seed varieties released since July 
2024.",,,,,,National Mission; High Yielding Seeds; July,seeds; high; national mission; climate,"1(CARDINAL); 2(CARDINAL); 3(CARDINAL); e than 100(CARDINAL); July 
2024(DATE)"
"Fisheries  
20.",,,,,,Fisheries,20,20(CARDINAL)
India ranks second -largest globally in fish production and aquaculture.,,,,,,India,fish; production; india,India(GPE); second(ORDINAL)
Seafood exports are valued at ` 60 thousand crore.,,,,,,Seafood,thousand; 60; exports; crore,Seafood(ORG); 60 thousand(CARDINAL)
"To unlock the untapped 
potential of the marine sector, our Government  will bring in an enabling 
framework for sustainable harnessing of fisheries from Indian Exclusive 
Economic Zone and High Seas, with a special focus on the Andaman & Nicobar 
and Lakshadweep Islands.",,,,,,"Government; Indian Exclusive 
Economic Zone; High Seas; Andaman; Nicobar; Lakshadweep Islands",zone; economic zone; potential; enabling,Government(ORG); Indian(NORP); High Seas(PERSON); Andaman & Nicobar(ORG); Lakshadweep Islands(LOC)
"Mission for Cotton Productivity  
21.",,,,,,Mission; Cotton Productivity,21; cotton; productivity; mission,
"For the benefit of lakhs of cotton growing farmers, I am pleased to 
announce a ‘Mission for Cotton Productivity’.","rs,",",",,,,For; Mission; Cotton Productivity,cotton; announce; productivity; benefit,
"This 5 -year mission will facilitate 
significant improvements in productivity and sustainability of cotton farming, 
and promote extra -long stap le cotton varieties.",,,,,,This,cotton; significant; long; productivity,This 5 -year(DATE)
"The best of science & 
technology support will be provided to farmers.",rs.,.,,,,The,support provided; best; technology; provided,
"Aligned with our integrated 5F 
vision for the textile sector, this will help in increasing incomes of the farmers, 
and ensure a steady supply of quality cotton for r ejuvenating India’s traditional 
textile sector.","rs,",",",,,,Aligned; India,textile; sector; incomes; cotton,5F(CARDINAL); India(GPE)
"Enhanced Credit through KCC  
22.",,,,,,Enhanced Credit,22; enhanced; credit,Enhanced Credit(ORG); 22(CARDINAL)
"Kisan Credit Cards (KCC) facilitate short term loans for 7.7 crore farmers, 
fishermen, and dairy farmers.","rs,",",",,,,Kisan Credit Cards,farmers; term loans; credit cards; cards,Kisan Credit Cards(ORG); KCC(ORG); 7.7(CARDINAL)
"The loan limit under the Modified Interest 
Subvention Scheme will be enhanced from ` 3 lakh to 5 lakh for loans taken 
through the KCC.",3 lakh,3,lakh,,,"The; Modified Interest 
Subvention Scheme",lakh; loan; taken; loans,"the Modified Interest 
Subvention Scheme(ORG); 3(CARDINAL); 5(CARDINAL); KCC(ORG)"
"Urea Plant in Assam  
23.",,,,,,Urea Plant; Assam,plant; urea; 23,Urea Plant in Assam(ORG)
"For Atmanirbharta in urea production, our Government  had reopened 
three dormant urea plants in the Eastern region.",,,,,,For Atmanirbharta; Government; Eastern,urea; region; production; government,Atmanirbharta(GPE); Government(ORG); three(CARDINAL); Eastern(NORP)
"To further augment urea 
supply, a plant with annual capacity of 12.7 lakh metric tons will be set up at 
Namrup, Assam.",7 lakh,7,lakh,,,Namrup; Assam,plant; urea; annual; 12 lakh,annual(DATE); 12.7 lakh metric tons(QUANTITY)
"India Post as a Catalyst for the Rural Economy  
24.",,,,,,India Post; Catalyst; Rural Economy,catalyst rural; catalyst; rural economy; india post,"India Post(ORG); Catalyst(FAC); the Rural Economy  
24(ORG)"
"India Post with 1.5 lakh rural post offices, complemented by the India 
Post Payment Bank and a vast network of 2.4 lakh Dak Sevaks, will be 
repositioned to act as a catalyst for the rural economy.",5 lakh,5,lakh,,,"India Post; India 
Post Payment Bank; Dak Sevaks",post; india post; rural; india,"India Post(ORG); 1.5(CARDINAL); the India 
Post Payment Bank(ORG); 2.4(CARDINAL); Dak Sevaks(PERSON)"
"Details are at 
Annexure C.  
 6  
 
25.",,,,,,Details; Annexure,details annexure; details; annexure; 25,C.(NORP)
"India Post will also be transformed as a large public logistics 
organization.",,,,,,India Post,public; large; india post; post,India Post(ORG)
"This will meet the rising needs of Viswakarmas, new 
entrepreneurs, women, self -help groups, MSMEs, and large business 
organizations.","rs,",",",,,,This; Viswakarmas,entrepreneurs; groups; rising; large,Viswakarmas(PERSON)
"Support to NCDC  
26.",,,,,,Support,26; support,NCDC(ORG); 26(CARDINAL)
"Our Government  will provide support to NCDC for its lending operations 
for the cooperative sector.  
MSMEs as the 2nd engine  
27.",,,,,,Our Government,cooperative; msmes 2nd; 2nd; 27,NCDC(ORG); 2nd(ORDINAL); 27(CARDINAL)
"Now, I move to MSMEs as the 2nd engine, which encompasses 
manufacturing and services with a focus on MSMEs  numbering 5.7 crore .",7 crore,7,crore,,,Now,msmes; encompasses; msmes 2nd; 2nd,2nd(ORDINAL); 5.7(CARDINAL)
"Revision in classification criteria for MSMEs  
28.",,,,,,Revision,classification; 28; msmes,28(CARDINAL)
"Currently, over 1 crore registered MSMEs, employing 7.5 crore people, 
and generating 36 per cent of our manufacturing, have come together to 
position India as a global manufacturing hub.",1 crore,1,crore,,,Currently; India,manufacturing; crore; hub; registered,over 1(CARDINAL); 7.5(CARDINAL); 36 per cent(MONEY); India(GPE)
"With their quality products, 
these MSMEs are responsible for 45 per c ent of our exports.",,,,,,With,quality; msmes; exports; products,45(CARDINAL)
"To help them 
achieve higher efficiencies of scale, technological upgradation and better 
access to capital, the investment and turnover limits for classification of all 
MSMEs will be enhanced to 2.5 and 2 times respectively.",,,,,,,respectively; technological; achieve; limits,2.5(CARDINAL); 2(CARDINAL)
"This will gi ve them 
the confidence to grow and generate employment for our youth.",,,,,,This,generate; youth; employment,
"The details 
are in Annexure D.  
Significant enhancement of credit availability with guarantee cover  
29.",,,,,,The; Annexure; Significant,enhancement; guarantee; significant; details annexure,D.(NORP); 29(CARDINAL)
"To improve access to credit, the credit guarantee cover will be 
enhanced : 
a)",,,,,,,credit; guarantee; cover; improve,
"For Micro and Small Enterprises, from ` 5 crore to 10 crore, leading 
to additional credit of ` 1.5 lakh crore in the next 5 years;  
b) For Startups, from ` 10 crore to 20 crore, with the guarantee fee 
being moderated to 1 per cent for loans in 27 focus sectors 
important for Atmanirbhar Bharat; and  
c) For well -run exporter MSMEs, for term loans up to ` 20 crore.",5 crore,5,crore,,,For Micro; Small Enterprises; For Startups; Atmanirbhar Bharat; For,crore; loans; 20; 10,5(CARDINAL); 10(CARDINAL); 1.5(CARDINAL); the next 5 years(DATE); Startups(ORG); 10(CARDINAL); 20(CARDINAL); 1 per cent(MONEY); 27(CARDINAL); Atmanirbhar Bharat(PERSON); 20(CARDINAL)
"Credit Cards for Micro Enterprises  
30.",,,,,,Credit Cards; Micro Enterprises,micro; credit cards; enterprises; cards,Credit Cards for Micro Enterprises(ORG)
"We will introduce customized Credit Cards with a ` 5 lakh limit for micro 
enterprises registered on Udyam portal.",5 lakh,5,lakh,,,Credit Cards; Udyam,portal; micro; enterprises; credit cards,Credit Cards(ORG); 5(CARDINAL); Udyam(PERSON)
"In the first year, 10 lakh such cards will 
be issued.",10 lakh,10,lakh,,,,10 lakh; cards; year; lakh,the first year(DATE); 10(CARDINAL)
"7  
 
Fund of Funds for Startups  
31.",,,,,,Fund; Funds; Startups,fund funds; startups; 31; funds,7(CARDINAL)
"The Alternate Investment Funds (AIFs) for startups have received 
commitments of more than ` 91,000 crore.",000 crore,000,crore,,,The Alternate Investment Funds,91; startups; received; 000 crore,"The Alternate Investment Funds(ORG); more than ` 91,000(CARDINAL)"
"These are supported by the Fund 
of Funds set up with a Government  contribution of ` 10,000 crore.",000 crore,000,crore,,,These; Fund; Funds; Government,fund funds; contribution; 000 crore; 10 000,"Funds(ORG); 10,000(CARDINAL)"
"Now, a new 
Fund of Funds, with expanded scope and a fresh contribution of another  
` 10,000 crore will be set up.",000 crore,000,crore,,,Now; Fund; Funds,scope; fund funds; expanded; contribution,"10,000(CARDINAL)"
"Scheme for First -time Entrepreneurs  
32.","rs  
32.",32.,,,,Scheme; First; Entrepreneurs,entrepreneurs; 32; time; scheme,First(ORDINAL)
"A new scheme will be launched for 5 lakh women, Scheduled Castes and 
Scheduled Tribes first -time entrepreneurs.",rs.,.,,,,Scheduled Castes; Scheduled Tribes,entrepreneurs; women; launched; time,5(CARDINAL); first(ORDINAL)
"This will provide term loans up  
to ` 2 crore during the next 5 years.",rs.,.,,,,This,term loans; term; loans; years,2(CARDINAL); the next 5 years(DATE)
"The scheme will incorporate lessons from 
the successful Stand -Up India scheme.",,,,,,The; Stand; India,scheme; india,Stand(GPE); India(GPE)
"Online capacity building for 
entrepreneurship and managerial skills will also be organized.",,,,,,Online,capacity building; entrepreneurship; skills; capacity,
"Measures for Labour -Intensive Sectors      
33.","rs      
33.",33.,,,,Measures; Labour; Intensive Sectors,33; sectors; measures,33(CARDINAL)
"To promote employment and entrepreneurship opportunities in 
labour -intensive sectors, our Government  will undertake specific policy and  
facilitation measures.","rs,",",",,,,Government,entrepreneurship; facilitation; opportunities; specific,Government(ORG)
"Focus Product Scheme for Footwear & Leather Sectors  
34.","rs  
34.",34.,,,,Focus Product Scheme; Footwear; Leather Sectors,footwear; 34; sectors; leather,Focus Product Scheme for(ORG); 34(CARDINAL)
"To enhance the productivity, quality and competitiveness  of India’s 
footwear and leather sector, a focus product scheme will be implemented.",,,,,,India,footwear; implemented; competitiveness; enhance,India(GPE)
"The 
scheme will support design capacity, component manufacturing, and 
machinery required for production of non -leather quality footwear, besides the 
support for leather foo twear and products.",,,,,,The,leather; support; required; footwear,
"The scheme is expected to facilitate 
employment for 22 lakh persons, generate turnover of ` 4 lakh crore and 
exports of over ` 1.1 lakh crore.",22 lakh,22,lakh,,,The,lakh; lakh crore; crore; expected,22(CARDINAL); 4(CARDINAL); 1.1(CARDINAL)
"Measures for the Toy Sector  
35.",,,,,,Measures; Toy Sector,35; measures; sector,
"Building on the National Action Plan for Toys, we will implement a 
scheme to make India a global hub for toys.",,,,,,Building; National Action Plan; Toys; India,toys; hub; plan; implement,the National Action Plan for Toys(ORG); India(GPE)
"The scheme will focus on 
development of clusters, skills, and a manufacturing ecosystem  that will create 
high -quality, unique, innovative, and sustainable toys that will represent the 
'Made in India' brand.","rs,",",",,,,The; Made; India,unique; ecosystem; skills; toys,India(GPE)
"Support for Food Processing  
36.",,,,,,Support; Food Processing,processing; food; 36; support,
"In line with our commitment towards ‘Purvodaya ’, we will establish a 
National Institute of Food Technology, Entrepreneurship and Management in 
Bihar.",,,,,,Purvodaya; National Institute; Food Technology; Entrepreneurship; Management; Bihar,management; commitment; entrepreneurship; technology,National Institute of Food Technology(ORG); Bihar(GPE)
"The institute will provide a strong fillip to food processing activities in 
 8  
 
the entire Eastern region.",,,,,,The; Eastern,entire; region; activities; processing,8(CARDINAL); Eastern(NORP)
"This will result in (1) enhanced income for the 
farmers through value addition to their produce, and (2) skilling, 
entrepreneurship and employment opportunities for the youth.",,,,,,This,result; entrepreneurship; skilling; opportunities,1(CARDINAL); 2(CARDINAL)
"Manufacturing Mission - Furthering “Make in India”  
37.",,,,,,Make in India; Manufacturing Mission; Furthering; Make; India,furthering make; furthering; 37; make india,India(GPE); 37(CARDINAL)
"Our Government  will set up a National Manufacturing Mission covering 
small, medium and large industries for furthering “Make in India” by providing 
policy support, execution roadmaps, governance and monitoring framework 
for central ministries and states.",,,,,,Make in India; Our Government; National Manufacturing Mission; Make; India,furthering make; providing; large; furthering,Make in India(WORK_OF_ART)
"Details are in Annexure E.  
Clean Tech Manufacturing  
38.",,,,,,Details; Annexure; Clean Tech Manufacturing,tech; details annexure; 38; details,38(CARDINAL)
"Given our commitment to climate -friendly development, the Mission 
will also support Clean Tech manufacturing.",,,,,,Given; Mission; Clean Tech,climate; given; tech; friendly,Clean Tech(ORG)
"This will aim to improve domestic 
value addition and build our ecosystem for solar PV cells, EV batteries, motors 
and controllers, electrolyzers, wind turbines, very high voltage transmission 
equipment and grid scale batteries.","rs,",",",,,,This,ecosystem; cells; improve; value addition,EV(ORG)
"Investment as the 3rd engine  
39.",,,,,,Investment,39; engine; investment,3rd(ORDINAL); 39(CARDINAL)
"Now, I move to Investment as the 3rd engine, which encompasses 
investing in people, investing in the economy and investing in innovation.",,,,,,Now; Investment,investing; encompasses; investing people; innovation,Investment(ORG); 3rd(ORDINAL)
"A. Investing in People  
Saksham Anganwadi and Poshan 2.0  
40.",,,,,,"Investing; People  
Saksham Anganwadi; Poshan",investing people; investing; 40; people,"Poshan 2.0  
40(FAC)"
"The Saksham Anganwadi and Poshan 2.0 programme provides 
nutritional support to more than 8 crore children, 1 crore pregnant women and 
lactating mothers all over the country, and about 20 lakh adolescent girls in 
aspirational districts and the north -east re gion.",8 crore,8,crore,,,The Saksham Anganwadi; Poshan,crore; nutritional; provides; women,The Saksham Anganwadi(ORG); Poshan 2.0(FAC); more than 8(CARDINAL); 1(CARDINAL); about 20(CARDINAL)
"The cost norms for the 
nutritional support will be enhanced appropriately.",,,,,,The,nutritional; cost; enhanced; support,
"Atal Tinkering Labs  
41.",,,,,,Atal Tinkering Labs,,
"Fifty thousand Atal Tinkering Labs will be set up in Government  schools 
in next 5 years to cultivate the spirit of curiosity and innovation, and foster a 
scientific temper among young minds.",,,,,,Fifty; Atal Tinkering Labs; Government,thousand; spirit; innovation; set,Fifty thousand(CARDINAL); Atal Tinkering Labs(ORG); next 5 years(DATE)
"Broadband Connectivity to Government Secondary Schools and PHCs  
42.",,,,,,Broadband Connectivity; Government Secondary Schools,connectivity; government,Broadband Connectivity to Government(ORG)
"Broadband connectivity will be provided to all Government  secondary 
schools and primary health centres in rural areas under the Bharatnet project.",,,,,,Broadband; Government; Bharatnet,health; rural areas; connectivity; project,Broadband(GPE); Bharatnet(ORG)
"9  
 
Bharatiya Bhasha Pustak Scheme  
43.",,,,,,Bharatiya Bhasha Pustak Scheme,bharatiya; scheme,9(CARDINAL); Bharatiya Bhasha Pustak Scheme(ORG)
"We propose to implement a Bharatiya Bhasha Pustak Scheme to 
provide digital -form Indian language books for school and higher education.",,,,,,Bharatiya Bhasha Pustak Scheme; Indian,bharatiya; digital; implement; higher,Bharatiya Bhasha Pustak Scheme(ORG); Indian(NORP)
This aims to help students understand their subjects better.,,,,,,This,students; understand; help; better,
"National Centres of Excellence for Skilling  
44.",,,,,,National Centres; Excellence; Skilling,centres excellence; excellence; skilling; centres,National Centres of Excellence(ORG)
"Building on the initiative announced in the July 2024 Budget, five 
National Centres of Excellence for skilling will be set up with global expertise 
and partnerships to equip our youth with the skills required for “Make for India, 
Make for the World” manufa cturing.",,,,,,Building; July; Budget; National Centres; Excellence; Make; India; World,make; centres excellence; required; announced july,the July 2024(DATE); five(CARDINAL); National Centres of Excellence(ORG); Make for India(WORK_OF_ART)
"The partnerships will cover curriculum 
design, training of trainers, a skills certification framework, and periodic 
reviews.","rs,",",",,,,The,skills; cover; framework,
"Expansion of Capacity in IITs  
45.",,,,,,Expansion; Capacity,expansion; iits; capacity,
"Total number of students in 23 IITs has increased 100 per cent from 
65,000 to 1.35 lakh in the past 10 years.",rs.,.,,,,Total,65 000; 100 cent; students; 65,"23(CARDINAL); 100 per cent(MONEY); 65,000(CARDINAL); 1.35(CARDINAL); the past 10 years(DATE)"
